,pergunta,resposta,tipo,vaga,empresa
0,"Código do país [  ""Selecionar opção"", ""Brasil (+55)"", ""Afeganistão (+93)"", ""Albâ...",Yes,select,programador Junior/ pleno,EGGTECH TECNOLOGI
1,telefone,21980292791,text,programador Junior/ pleno,EGGTECH TECNOLOGI
2,"E-mail [  ""Selecionar opção"", ""leonardorfragoso@gmail.com"", ]",Yes,select,programador Junior/ pleno,EGGTECH TECNOLOGI
3,how many years of work experience do you have with dynamic sql?,3,text,Engenheiro de Dados Júnior,Zeta Dado
4,how many years of work experience do you have with python (programming language)...,3,text,Engenheiro de Dados Júnior,Zeta Dado
6,"Conhecimento avançado em Kubernets? [  ""Selecionar opção"", ""Yes"", ""No"", ]",Yes,select,SRE,Elumini Outdoing I
7,"Você trabalharia em um modelo híbrido? [  ""Sim""<Yes>, ""Não""<No>, ]","""Sim""<Yes>",radio,SRE,Elumini Outdoing I
8,"Conhecimento em CI/CD: Jenkins e Azure DevOps? [  ""Selecionar opção"", ""Yes"", ""No...",Yes,select,SRE,Elumini Outdoing I
9,"Aceita remuneração de R$14.500 CLT e benefícios?  [  ""Selecionar opção"", ""Yes"", ...",Yes,select,SRE,Elumini Outdoing I
11,"Você concorda em se locomover até a localidade da vaga? [  ""Sim""<Yes>, ""Não""<No>...","""Sim""<Yes>",radio,SRE,Elumini Outdoing I
12,"Aceita remuneração de R$14.500 CLT e benefícios?  [  ""Selecionar opção"", ""Yes"", ...",No,select,SRE,Elumini Outdoing I
13,"Forte conhecimentos de infra as code: CloudFormation e Terraform? [  ""Selecionar...",Yes,select,SRE,Elumini Outdoing I
14,"Conhecimento de K8s? [  ""Selecionar opção"", ""Yes"", ""No"", ]",Yes,select,SRE,Elumini Outdoing I
17,há quantos anos você já usa python no trabalho?,3,text,SRE,Elumini Outdoing I
18,atua há quantos anos exclusivamente como sre?,3,text,SRE,Elumini Outdoing I
19,há quantos anos você já usa amazon web services no trabalho?,3,text,SRE,Elumini Outdoing I
22,"Você completou o curso Bacharelado? [  ""Sim""<Yes>, ""Não""<No>, ]","""Sim""<Yes>",radio,"Desenvolvedor Pleno - IA, Análise de Dados e Computação Científica",First Decisio
23,pretensão salarial (pj):,7000,text,Banco de Talentos - Tecnologia,Legitimu
24,você programa desde qual idade?,3,text,Banco de Talentos - Tecnologia,Legitimu
25,"Possui disponibilidade para atuar de modo 100% presencial no Brooklin/SP? [  ""Se...",Yes,select,Banco de Talentos - Tecnologia,Legitimu
26,"Qual seu nível de proficiência em Inglês? [  ""Selecionar opção"", ""Nenhuma"", ""Con...",Yes,select,Banco de Talentos - Tecnologia,Legitimu
27,direct-salary:pretensão salarial (pj):,7000,text-or-textarea,Banco de Talentos - Tecnologia,Legitimu
30,experiência com construção de ferramentas utilizando mcp (model context protocol...,3,text,Desenvolvedor Python - GenAI,SO
31,conhecimento profundo em frameworks para ia generativa há quanto tempo?,"Python, Django, Flask, React, Node.js, PostgreSQL, MongoDB, Docker, Git",text,Desenvolvedor Python - GenAI,SO
32,"experiência em ambientes cloud (aws, azure ou gcp) há quanto tempo?",3,text,Desenvolvedor Python - GenAI,SO
33,"experiência com fastapi, flask, django há quanto tempo?",3,text,Desenvolvedor Python - GenAI,SO
34,"Qual seu nível de proficiência em Inglês? [  ""Selecionar opção"", ""Nenhuma"", ""Con...",Yes,select,Desenvolvedor Python - GenAI,SO
36,conhecimento profundo em frameworks para ia generativa há quanto tempo?,3,text,Desenvolvedor Python - GenAI,SO
40,há quantos anos você já usa spring boot no trabalho?,3,text,Pessoa Desenvolvedora JAVA Pleno,Elumini Outdoing I
41,há quantos anos você já usa postgresql no trabalho?,2,text,Pessoa Desenvolvedora JAVA Pleno,Elumini Outdoing I
42,há quantos anos você já usa kotlin no trabalho?,3,text,Pessoa Desenvolvedora JAVA Pleno,Elumini Outdoing I
43,"Tem disponibilidade para atuar 3x por semana na Av. Paulista SP? [  ""Selecionar ...",Yes,select,Pessoa Desenvolvedora JAVA Pleno,Elumini Outdoing I
47,há quantos anos você já usa kotlin no trabalho?,3,text,Desenvolvedor,PSM COMPAN
48,há quantos anos você já usa java no trabalho?,0,text,Desenvolvedor,PSM COMPAN
49,há quantos anos você já usa python no trabalho?,3,text,Desenvolvedor,PSM COMPAN
50,há quantos anos você já usa javascript no trabalho?,3,text,Desenvolvedor No Code,Four
51,há quantos anos você já usa python no trabalho?,3,text,Desenvolvedor No Code,Four
52,há quantos anos você já usa html no trabalho?,3,text,Desenvolvedor No Code,Four
53,qual é seu nível atual de inglês? 1- básico. 2- intermediário (não falo mas escr...,Intermediário,text,Desenvolvedor full stack,Dexian Brasi
54,qual é seu nível atual de inglês? 1- básico. 2- intermediário (não falo mas escr...,2,text,Desenvolvedor full stack,Dexian Brasi
55,há quantos anos você já usa web scraping no trabalho?,3,text,Desenvolvedor full stack,Dexian Brasi
58,há quantos anos você já usa python no trabalho?,3,text,Desenvolvedor full stack,Dexian Brasi
59,há quantos anos você já usa react.js no trabalho?,1,text,Desenvolvedor full stack,Dexian Brasi
60,qual sua expectativa salarial clt?,5000,text,AI Agent Developer Jr,Mercado Eletrônic
62,direct-salary:qual seria a sua pretensão salarial para essa oportunidade?,5000,text-or-textarea,Engenheiro(a) de Software Junior,Gring
63,qual seria a sua pretensão salarial para essa oportunidade?,5000,text,Engenheiro(a) de Software Junior,Gring
64,"Possui disponibilidade para atuar no fuso horario da Europa 06 - 15 hrs? [  ""Sel...",Yes,select,Desenvolvedor(a) OutSystems Júnior,Inetu
65,qual a sua pretensão taxa/hora pj?,5000,text,Desenvolvedor(a) OutSystems Júnior,Inetu
66,direct-salary:qual a sua pretensão taxa/hora pj?,5000,text-or-textarea,Desenvolvedor(a) OutSystems Júnior,Inetu
68,possui quanto tempo de experiência como desenvolvedor?,3,text,Desenvolvedor(a) OutSystems Júnior,Inetu
69,"Possui inglês para conversação? [  ""Selecionar opção"", ""Yes"", ""No"", ]",Yes,select,Desenvolvedor(a) OutSystems Júnior,Inetu
71,possui quanto tempo de experiência com outsystems?,3,text,Desenvolvedor(a) OutSystems Júnior,Inetu
74,qual a sua pretensão salarial para contratação clt?,5000,text,Desenvolvedor Pleno (GIS),Imagem Geosistema
75,há quantos anos você já usa sig (sistema de informação geográfica) no trabalho?,3,text,Desenvolvedor Pleno (GIS),Imagem Geosistema
77,há quantos anos você já usa python no trabalho?,3,text,Desenvolvedor Pleno (GIS),Imagem Geosistema
78,direct-salary:qual a sua pretensão salarial para contratação clt?,5000,text-or-textarea,Desenvolvedor Pleno (GIS),Imagem Geosistema
79,"E-mail [  ""Select an option"", ""leonardorfragoso@gmail.com"", ]",Yes,select,Python Engineer - Remote,INDI Staffing Service
80,"Phone country code [ ""List of phone country codes"" ]",Yes,select,Python Engineer - Remote,INDI Staffing Service
81,telefone,21980292791,text,Python Engineer - Remote,INDI Staffing Service
82,salary expectation,5000,text,Engenheiro de IA - Junior,Bluegroun
83,"What is your level of proficiency in English? [  ""Select an option"", ""None"", ""Co...",Yes,select,Engenheiro de IA - Junior,Bluegroun
84,direct-salary:salary expectation,5000,text-or-textarea,Engenheiro de IA - Junior,Bluegroun
85,"Código do país [  ""Selecionar opção"", ""Brasil (+55)"", ""Afeganistão (+93)"", ""Albâ...",Yes,select,Desenvolvedor de jogos,Erole Marketing Agenc
86,"E-mail [  ""Selecionar opção"", ""leonardorfragoso@gmail.com"", ]",Yes,select,Desenvolvedor de jogos,Erole Marketing Agenc
87,telefone,21980292791,text,Desenvolvedor de jogos,Erole Marketing Agenc
88,há quantos anos você já usa sql no trabalho?,3,text,Desenvolvedor Backend (Node),Mutan
89,há quantos anos você já usa google cloud platform (gcp) no trabalho?,1,text,Desenvolvedor Backend (Node),Mutan
90,"esta de acordo com contrato pessoa jurídica por tempo indeterminado? [  ""Selecio...",Yes,select,Desenvolvedor Python Pleno,Capitani Grou
